match_id,minute,second,period,team,player,body_part,shot_type,own_goal,x,y
3857301,40,20,1,Senegal,Boulaye Dia,Right Foot,Open Play,False,107.2,33.3
3857301,47,51,2,Senegal,Famara Diedhiou,Head,Open Play,False,112.5,48.1
3857301,77,39,2,Qatar,Mohammed Muntari,Head,Open Play,False,110.1,38.7
3857301,83,6,2,Senegal,Cheikh Ahmadou Bamba Mbacke Dieng,Right Foot,Open Play,False,107.8,45.3
3857258,61,58,2,Brazil,Richarlison de Andrade,Right Foot,Open Play,False,114.5,41.8
3857258,72,54,2,Brazil,Richarlison de Andrade,Right Foot,Open Play,False,107.1,39.6
3869151,34,35,1,Argentina,Lionel Andrés Messi Cuccittini,Left Foot,Open Play,False,104.2,48.9
3869151,56,41,2,Argentina,Julián Álvarez,Right Foot,Open Play,False,110.4,50.3
3869151,76,11,2,Australia,,,Own Goal,True,,
3857286,15,49,1,Ecuador,Enner Remberto Valencia Lastra,Right Foot,Penalty,False,108.1,40.1
3857286,30,44,1,Ecuador,Enner Remberto Valencia Lastra,Head,Open Play,False,109.6,38.0
3857267,43,41,1,Senegal,Ismaïla Sarr,Right Foot,Penalty,False,108.0,40.0
3857267,66,58,2,Ecuador,Moisés Isaac Caicedo Corozo,Right Foot,Open Play,False,117.2,35.6
3857267,69,30,2,Senegal,Kalidou Koulibaly,Right Foot,Open Play,False,114.3,46.0
3869117,9,31,1,Netherlands,Memphis Depay,Right Foot,Open Play,False,104.9,43.7
3869117,45,36,1,Netherlands,Daley Blind,Right Foot,Open Play,False,107.6,38.5
3869117,75,20,2,United States,Haji Wright,Right Foot,Open Play,False,115.1,45.2
3869117,80,28,2,Netherlands,Denzel Dumfries,Left Foot,Open Play,False,113.5,44.3
3857269,82,15,2,Brazil,Carlos Henrique Casimiro,Right Foot,Open Play,False,106.3,29.4
3857275,57,20,2,Tunisia,Wahbi Khazri,Left Foot,Open Play,False,103.3,37.8
3857268,43,32,1,Belgium,Michy Batshuayi Tunga,Left Foot,Open Play,False,109.0,36.1
3869219,42,54,1,Japan,Daizen Maeda,Left Foot,Open Play,False,113.5,44.3
3869219,54,54,2,Croatia,Ivan Perišić,Head,Open Play,False,106.0,34.1
3857293,25,30,1,Uruguay,Giorgian Daniel De Arrascaeta Benedetti,Head,Open Play,False,118.0,42.7
3857293,31,2,1,Uruguay,Giorgian Daniel De Arrascaeta Benedetti,Right Foot,Open Play,False,110.8,31.2
3857274,5,3,1,Netherlands,Cody Mathès Gakpo,Left Foot,Open Play,False,100.6,31.0
3857274,48,44,2,Ecuador,Enner Remberto Valencia Lastra,Right Foot,Open Play,False,116.0,38.1
3869152,43,28,1,France,Olivier Giroud,Left Foot,Open Play,False,105.6,32.3
3869152,73,56,2,France,Kylian Mbappé Lottin,Right Foot,Open Play,False,104.8,28.6
3869152,90,5,2,France,Kylian Mbappé Lottin,Right Foot,Open Play,False,106.2,25.2
3869152,98,36,2,Poland,Robert Lewandowski,Right Foot,Penalty,False,108.0,40.0
3857260,46,52,2,Mexico,Henry Josué Martín Mex,Left Foot,Open Play,False,116.7,40.2
3857260,51,56,2,Mexico,Luis Gerardo Chávez Magallón,Left Foot,Free Kick,False,86.7,41.3
3857260,94,40,2,Saudi Arabia,Salem Mohammed Al Dawsari,Right Foot,Open Play,False,110.9,45.2
3857289,63,32,2,Argentina,Lionel Andrés Messi Cuccittini,Left Foot,Open Play,False,94.9,37.4
3857289,86,39,2,Argentina,Enzo Fernandez,Right Foot,Open Play,False,106.5,22.8
3857255,11,0,1,Spain,Álvaro Borja Morata Martín,Head,Open Play,False,115.3,38.3
3857255,47,48,2,Japan,Ritsu Doan,Left Foot,Open Play,False,100.5,55.8
3857255,50,14,2,Japan,Ao Tanaka,Other,Open Play,False,118.7,40.2
3857298,64,20,2,Portugal,Cristiano Ronaldo dos Santos Aveiro,Right Foot,Penalty,False,108.1,40.1
3857298,72,11,2,Ghana,André Ayew Pelé,Right Foot,Open Play,False,115.6,39.8
3857298,77,6,2,Portugal,João Félix Sequeira,Right Foot,Open Play,False,107.5,52.6
3857298,79,21,2,Portugal,Rafael Alexandre Conceição Leão,Right Foot,Open Play,False,111.7,28.3
3857298,88,28,2,Ghana,Osman Bukari,Head,Open Play,False,113.5,40.2
3857300,9,15,1,Argentina,Lionel Andrés Messi Cuccittini,Left Foot,Penalty,False,108.0,40.0
3857300,47,40,2,Saudi Arabia,Saleh Khalid Al Shehri,Left Foot,Open Play,False,108.0,29.6
3857300,52,44,2,Saudi Arabia,Salem Mohammed Al Dawsari,Right Foot,Open Play,False,102.4,25.3
3857261,49,17,2,England,Marcus Rashford,Right Foot,Free Kick,False,96.1,29.3
