match_id,team,player,jersey_number,starter,appeared,first_position,on_time,off_time,start_reason,end_reason,num_positions_played
3857277,Morocco,Abdessamad Ezzalzouli,16,False,True,Left Midfield,64:46,,Substitution - On (Tactical),Final Whistle,1
3857277,Morocco,Bilal El Khannous,23,False,False,,,,,,0
3857277,Morocco,Walid Cheddira,21,False,False,,,,,,0
3869118,Senegal,Ismaïla Sarr,18,True,True,Left Wing,00:00,,Starting XI,Final Whistle,1
3869118,Senegal,Youssouf Sabaly,21,True,True,Right Back,00:00,,Starting XI,Final Whistle,1
3869118,Senegal,Fodé Ballo Touré,12,False,True,Left Back,83:54,,Substitution - On (Tactical),Final Whistle,1
3869118,Senegal,Nampalys Mendy,6,True,True,Left Defensive Midfield,00:00,,Starting XI,Final Whistle,1
3869118,Senegal,Kalidou Koulibaly,3,True,True,Right Center Back,00:00,,Starting XI,Final Whistle,1
3869118,Senegal,Edouard Mendy,16,True,True,Goalkeeper,00:00,,Starting XI,Final Whistle,1
3869118,Senegal,Abdou Diallo,22,True,True,Left Center Back,00:00,,Starting XI,Final Whistle,1
3869118,Senegal,Alfred Benjamin Gomis,23,False,False,,,,,,0
3869118,Senegal,Mamadou Loum N''Diaye,25,False,False,,,,,,0
3869118,Senegal,Famara Diedhiou,19,False,True,Right Wing,71:07,,Substitution - On (Tactical),Final Whistle,2
3869118,Senegal,Pape Abou Cissé,4,False,False,,,,,,0
3869118,Senegal,Timothy Dieng,1,False,False,,,,,,0
3869118,Senegal,Boulaye Dia,9,True,True,Center Forward,00:00,71:07,Starting XI,Substitution - Off (Tactical),2
3869118,Senegal,Krépin Diatta,15,True,True,Right Wing,00:00,45:00,Starting XI,Substitution - Off (Tactical),1
3869118,Senegal,Pape Gueye,26,False,True,Right Defensive Midfield,45:00,,Substitution - On (Tactical),Final Whistle,2
3869118,Senegal,Pathé Ismaël Ciss,11,True,True,Right Defensive Midfield,00:00,45:00,Starting XI,Substitution - Off (Tactical),1
3869118,Senegal,Ismail Jakobs,14,True,True,Left Back,00:00,83:54,Starting XI,Substitution - Off (Tactical),1
3869118,Senegal,Moustapha Name,24,False,False,,,,,,0
3869118,Senegal,Formose Mendy,2,False,False,,,,,,0
3869118,Senegal,Nicolas Jackson,7,False,False,,,,,,0
3869118,Senegal,Pape Matar Sarr,17,False,True,Right Wing,45:00,,Substitution - On (Tactical),Final Whistle,3
3869118,Senegal,Iliman Ndiaye,13,True,True,Center Attacking Midfield,00:00,45:01,Starting XI,Substitution - Off (Tactical),1
3869118,Senegal,Cheikh Ahmadou Bamba Mbacke Dieng,20,False,True,Center Attacking Midfield,45:01,,Substitution - On (Tactical),Final Whistle,3
3869118,Senegal,Moussa N''Diaye,10,False,False,,,,,,0
3869118,England,Kyle Walker,2,True,True,Right Back,00:00,,Starting XI,Final Whistle,1
3869118,England,John Stones,5,True,True,Right Center Back,00:00,76:10,Starting XI,Substitution - Off (Tactical),1
3869118,England,Kieran Trippier,12,False,False,,,,,,0
3869118,England,Marcus Rashford,11,False,True,Right Wing,64:19,,Substitution - On (Tactical),Final Whistle,1
3869118,England,Harry Maguire,6,True,True,Left Center Back,00:00,,Starting XI,Final Whistle,1
3869118,England,Luke Shaw,3,True,True,Left Back,00:00,,Starting XI,Final Whistle,1
3869118,England,Jordan Pickford,1,True,True,Goalkeeper,00:00,,Starting XI,Final Whistle,1
3869118,England,Nick Pope,13,False,False,,,,,,0
3869118,England,Jordan Brian Henderson,8,True,True,Right Center Midfield,00:00,81:09,Starting XI,Substitution - Off (Tactical),1
3869118,England,Callum Wilson,24,False,False,,,,,,0
3869118,England,Trent Alexander-Arnold,18,False,False,,,,,,0
3869118,England,Declan Rice,4,True,True,Center Defensive Midfield,00:00,,Starting XI,Final Whistle,2
3869118,England,Philip Foden,20,True,True,Left Wing,00:00,64:27,Starting XI,Substitution - Off (Tactical),1
3869118,England,Kalvin Phillips,14,False,True,Right Center Midfield,81:09,,Substitution - On (Tactical),Final Whistle,2
3869118,England,Mason Mount,19,False,True,Left Center Midfield,75:55,,Substitution - On (Tactical),Final Whistle,2
3869118,England,Jack Grealish,7,False,True,Left Wing,64:27,,Substitution - On (Tactical),Final Whistle,1
3869118,England,James Maddison,25,False,False,,,,,,0
3869118,England,Conor Coady,16,False,False,,,,,,0
3869118,England,Harry Kane,9,True,True,Center Forward,00:00,,Starting XI,Final Whistle,1
