match_id,team,player,card,time,period,reason
3869321,Netherlands,Denzel Dumfries,Yellow Card,12:03,5,Bad Behaviour
3869321,Netherlands,Denzel Dumfries,Second Yellow,12:44,5,Bad Behaviour
3869321,Netherlands,Steven Bergwijn,Yellow Card,10:39,2,Bad Behaviour
3869321,Netherlands,Noa Lang,Yellow Card,12:44,5,Bad Behaviour
3869321,Netherlands,Jurriën David Norman Timber,Yellow Card,42:32,1,Bad Behaviour
3869321,Argentina,Nicolás Hernán Otamendi,Yellow Card,10:20,2,Bad Behaviour
3869321,Argentina,Lionel Andrés Messi Cuccittini,Yellow Card,99:46,2,Bad Behaviour
3869321,Argentina,Germán Alejandro Pezzella,Yellow Card,11:20,4,Foul Committed
3869321,Argentina,Leandro Daniel Paredes,Yellow Card,87:57,2,Foul Committed
3869321,Argentina,Marcos Javier Acuña,Yellow Card,42:21,1,Foul Committed
3869321,Argentina,Cristian Gabriel Romero,Yellow Card,44:24,1,Foul Committed
3869321,Argentina,Lisandro Martínez,Yellow Card,75:08,2,Bad Behaviour
3869321,Argentina,Gonzalo Ariel Montiel,Yellow Card,10:49,4,Bad Behaviour
3857265,Poland,Przemysław Frankowski,Yellow Card,75:09,2,Foul Committed
3857265,Mexico,Héctor Alfredo Moreno Herrera,Yellow Card,53:09,2,Foul Committed
3857265,Mexico,Jorge Eduardo Sánchez Ramos,Yellow Card,28:10,1,Foul Committed
3857301,Senegal,Boulaye Dia,Yellow Card,29:42,1,Foul Committed
3857301,Senegal,Pathé Ismaël Ciss,Yellow Card,86:47,2,Foul Committed
3857301,Senegal,Ismail Jakobs,Yellow Card,51:45,2,Foul Committed
3857301,Qatar,Assim Omer Al Haj Madibo,Yellow Card,90:03,2,Foul Committed
3857301,Qatar,Ismaeel Mohammad Mohammad,Yellow Card,19:12,1,Foul Committed
3857301,Qatar,Homam Alamin Ahmed,Yellow Card,46:26,1,Foul Committed
3857258,Serbia,Saša Lukić,Yellow Card,63:51,2,Bad Behaviour
3857258,Serbia,Nemanja Gudelj,Yellow Card,48:10,2,Foul Committed
3857258,Serbia,Strahinja Pavlović,Yellow Card,05:29,1,Foul Committed
3869151,Australia,Jackson Irvine,Yellow Card,14:11,1,Foul Committed
3869151,Australia,Miloš Degenek,Yellow Card,37:20,1,Foul Committed
3857286,Ecuador,Jhegson Sebastián Méndez Carabalí,Yellow Card,55:37,2,Foul Committed
3857286,Ecuador,Moisés Isaac Caicedo Corozo,Yellow Card,28:29,1,Foul Committed
3857286,Qatar,Akram Hassan Afif,Yellow Card,76:55,2,Foul Committed
3857286,Qatar,Karim Boudiaf,Yellow Card,35:47,1,Foul Committed
3857286,Qatar,Almoez Ali Zainalabiddin Abdulla,Yellow Card,21:06,1,Foul Committed
3857286,Qatar,Saad Abdullah Al Sheeb,Yellow Card,14:17,1,Foul Committed
3857267,Senegal,Idrissa Gana Gueye,Yellow Card,65:30,2,Foul Committed
3869117,Netherlands,Teun Koopmeiners,Yellow Card,59:24,2,Foul Committed
3869117,Netherlands,Frenkie de Jong,Yellow Card,86:34,2,Foul Committed
3857269,Brazil,Frederico Rodrigues Santos,Yellow Card,51:24,2,Foul Committed
3857269,Switzerland,Fabian Rieder,Yellow Card,49:51,2,Foul Committed
3857275,Tunisia,Wajdi Kechrida,Yellow Card,27:20,1,Foul Committed
3857268,Belgium,Thomas Meunier,Yellow Card,52:52,2,Foul Committed
3857268,Belgium,Yannick Ferreira Carrasco,Yellow Card,07:10,1,Foul Committed
3857268,Belgium,Amadou Onana,Yellow Card,55:48,2,Foul Committed
3857268,Canada,Alphonso Davies,Yellow Card,80:37,2,Foul Committed
3857268,Canada,Alistair Johnston,Yellow Card,82:38,2,Foul Committed
3869219,Croatia,Mateo Kovačić,Yellow Card,89:30,2,Foul Committed
3869219,Croatia,Borna Barišić,Yellow Card,11:26,4,Foul Committed
3857293,Ghana,Kamaldeen Sulemana,Yellow Card,85:02,2,Foul Committed
3857293,Ghana,Alidu Seidu,Yellow Card,98:27,2,Foul Committed
3857293,Uruguay,Edinson Roberto Cavani Gómez,Yellow Card,10:08,2,Bad Behaviour
3857293,Uruguay,Luis Alberto Suárez Díaz,Yellow Card,59:37,2,Bad Behaviour
3857293,Uruguay,José María Giménez de Vargas,Yellow Card,10:02,2,Bad Behaviour
3857293,Uruguay,Sebastián Coates Nión,Yellow Card,86:04,2,Foul Committed
3857293,Uruguay,Darwin Gabriel Núñez Ribeiro,Yellow Card,18:58,1,Bad Behaviour
3857274,Ecuador,Jhegson Sebastián Méndez Carabalí,Yellow Card,56:13,2,Foul Committed
3869152,France,Aurélien Djani Tchouaméni,Yellow Card,30:55,1,Foul Committed
3869152,Poland,Matty Cash,Yellow Card,87:44,2,Foul Committed
3869152,Poland,Bartosz Bereszyński,Yellow Card,46:14,2,Foul Committed
3857260,Saudi Arabia,Hattan Babhir,Yellow Card,96:47,2,Foul Committed
3857260,Saudi Arabia,Abdulelah Al Amri,Yellow Card,90:23,2,Foul Committed
3857260,Saudi Arabia,Ali Al Hassan,Yellow Card,33:22,1,Foul Committed
3857260,Saudi Arabia,Abdullah Mohammed Madu,Yellow Card,80:27,2,Foul Committed
3857260,Saudi Arabia,Saleh Khalid Al Shehri,Yellow Card,27:44,1,Foul Committed
3857260,Saudi Arabia,Hassan Mohammed Al-Tambakti,Yellow Card,51:00,2,Foul Committed
3857260,Mexico,Edson Omar Álvarez Velázquez,Yellow Card,14:56,1,Foul Committed
3857289,Argentina,Gonzalo Ariel Montiel,Yellow Card,42:35,1,Foul Committed
3857289,Mexico,Héctor Miguel Herrera López,Yellow Card,65:53,2,Foul Committed
3857289,Mexico,Néstor Alejandro Araújo Razo,Yellow Card,21:29,1,Foul Committed
3857289,Mexico,Érick Gabriel Gutiérrez Galaviz,Yellow Card,49:25,2,Foul Committed
3857289,Mexico,Roberto Carlos Alvarado Hernández,Yellow Card,88:47,2,Foul Committed
3857255,Japan,Maya Yoshida,Yellow Card,44:20,1,Foul Committed
3857255,Japan,Ko Itakura,Yellow Card,38:24,1,Foul Committed
3857255,Japan,Shogo Taniguchi,Yellow Card,43:31,1,Foul Committed
3857298,Ghana,André Ayew Pelé,Yellow Card,48:14,2,Foul Committed
3857298,Ghana,Iñaki Williams Arthuer,Yellow Card,90:29,2,Bad Behaviour
3857298,Ghana,Mohammed Kudus,Yellow Card,44:55,1,Foul Committed
3857298,Ghana,Alidu Seidu,Yellow Card,56:40,2,Foul Committed
3857298,Portugal,Bruno Miguel Borges Fernandes,Yellow Card,94:28,2,Foul Committed
3857298,Portugal,Danilo Luís Hélio Pereira,Yellow Card,89:30,2,Foul Committed
3857300,Saudi Arabia,Salem Mohammed Al Dawsari,Yellow Card,78:38,2,Bad Behaviour
3857300,Saudi Arabia,Mohammed Khalil Al Owais,Yellow Card,91:02,2,Bad Behaviour
3857300,Saudi Arabia,Ali Albulayhi,Yellow Card,74:09,2,Bad Behaviour
3857300,Saudi Arabia,Saud Abdullah Abdul Hamid,Yellow Card,81:02,2,Foul Committed
3857300,Saudi Arabia,Nawaf Shaker Al Abid,Yellow Card,87:42,2,Bad Behaviour
3857300,Saudi Arabia,Abdulelah Saad Hameed Al-Malki,Yellow Card,66:24,2,Foul Committed
3857261,Wales,Aaron Ramsey,Yellow Card,60:34,2,Foul Committed
3857261,Wales,Daniel James,Yellow Card,28:39,1,Foul Committed
3869519,Argentina,Nicolás Hernán Otamendi,Yellow Card,70:56,2,Bad Behaviour
3869519,Argentina,Cristian Gabriel Romero,Yellow Card,67:31,2,Foul Committed
3869519,Croatia,Mateo Kovačić,Yellow Card,31:31,1,Bad Behaviour
3869519,Croatia,Dominik Livaković,Yellow Card,31:10,1,Foul Committed
3857291,Costa Rica,Joel Nathaniel Campbell Samuels,Yellow Card,96:07,2,Foul Committed
3857291,Costa Rica,Francisco Javier Calvo Quesada,Yellow Card,67:18,2,Foul Committed
3857262,South Korea,Hee-Chan Hwang,Yellow Card,92:36,2,Bad Behaviour
3857262,South Korea,Kang-In Lee,Yellow Card,35:42,1,Foul Committed
3857259,Cameroon,Nicolas Alexis Julio N'Koulou Ndoubena,Yellow Card,23:18,1,Foul Committed
3857259,Cameroon,Christian Mougang Bassogog,Yellow Card,29:38,1,Bad Behaviour
3857259,Serbia,Nikola Milenković,Yellow Card,92:53,2,Foul Committed
3857259,Serbia,Luka Jović,Yellow Card,48:35,1,Bad Behaviour
3857276,Canada,David Junior Hoilett,Yellow Card,06:43,1,Foul Committed
3857276,Canada,Steven de Sousa Vitoria,Yellow Card,83:49,2,Foul Committed
3857276,Canada,Jonathan Osorio,Yellow Card,25:39,1,Foul Committed
3857276,Canada,Sam Adekugbe,Yellow Card,46:25,1,Foul Committed
3857290,Cameroon,Ngoran Suiru Fai Collins,Yellow Card,35:21,1,Foul Committed
