match_id,date,kickoff,stage,group,match_week,home_team,away_team,home_score,away_score,home_manager,away_manager,stadium,stadium_country,referee,referee_country,home_possession_pct_proxy,away_possession_pct_proxy
3857280,2022-12-02,19:00:00.000,Group Stage,G,3,Cameroon,Brazil,1,0,Rigobert Song Bahanag,Adenor Leonardo Bacchi,Lusail Stadium,Qatar,Ismail Elfath,United States of America,36.0,64.0
3869117,2022-12-03,17:00:00.000,Round of 16,,4,Netherlands,United States,3,1,Louis van Gaal,Gregg Berhalter,Sheikh Khalifa International Stadium,Qatar,Wilton Pereira Sampaio,Brazil,41.5,58.5
3869151,2022-12-03,21:00:00.000,Round of 16,,4,Argentina,Australia,2,1,Lionel Sebastián Scaloni,Graham James Arnold,Ahmad bin Ali Stadium,Qatar,Szymon Marciniak,Poland,60.4,39.6
3869152,2022-12-04,17:00:00.000,Round of 16,,4,France,Poland,3,1,Didier Deschamps,Czesław Michniewicz,Al Thumama Stadium,Qatar,Jesús Valenzuela Sáez,Venezuela (Bolivarian Republic),54.9,45.1
3869118,2022-12-04,21:00:00.000,Round of 16,,4,England,Senegal,3,0,Gareth Southgate,Aliou Cissé,Al Bayt Stadium,Qatar,Ivan Arcides Barton Cisneros,El Salvador,60.5,39.5
3869219,2022-12-05,17:00:00.000,Round of 16,,4,Japan,Croatia,1,1,Hajime Moriyasu,Zlatko Dalić,Al Janoub Stadium   ,Qatar,Ismail Elfath,United States of America,42.2,57.8
3869253,2022-12-05,21:00:00.000,Round of 16,,4,Brazil,South Korea,4,1,Adenor Leonardo Bacchi,Paulo Jorge Gomes Bento,Stadium 974,Qatar,Clément Turpin,France,53.6,46.4
3869220,2022-12-06,17:00:00.000,Round of 16,,4,Morocco,Spain,0,0,Hoalid Regragui,Luis Enrique Martínez García,Education City Stadium ,Qatar,Fernando Andrés Rapallini,Argentina,25.5,74.5
3869254,2022-12-06,21:00:00.000,Round of 16,,4,Portugal,Switzerland,6,1,Fernando Manuel Fernandes da Costa Santos,Murat Yakin,Lusail Stadium,Qatar,César Arturo Ramos Palazuelos,Mexico,48.0,52.0
3869420,2022-12-09,17:00:00.000,Quarter-finals,,5,Croatia,Brazil,1,1,Zlatko Dalić,Telê Santana da Silva,Education City Stadium ,Qatar,Michael Oliver,England,49.7,50.3
3869321,2022-12-09,19:00:00.000,Quarter-finals,,5,Netherlands,Argentina,2,2,Louis van Gaal,Lionel Sebastián Scaloni,Lusail Stadium,Qatar,Antonio Miguel Mateu Lahoz,Spain,51.9,48.1
3869486,2022-12-10,17:00:00.000,Quarter-finals,,5,Morocco,Portugal,1,0,Hoalid Regragui,Fernando Manuel Fernandes da Costa Santos,Al Thumama Stadium,Qatar,Facundo Tello Figueroa,Argentina,25.4,74.6
3869354,2022-12-10,21:00:00.000,Quarter-finals,,5,England,France,1,2,Gareth Southgate,Didier Deschamps,Al Bayt Stadium,Qatar,Wilton Pereira Sampaio,Brazil,57.3,42.7
3869519,2022-12-13,21:00:00.000,Semi-finals,,6,Argentina,Croatia,3,0,Lionel Sebastián Scaloni,Zlatko Dalić,Lusail Stadium,Qatar,Daniele Orsato,Italy,40.0,60.0
3869552,2022-12-14,21:00:00.000,Semi-finals,,6,France,Morocco,2,0,Didier Deschamps,Hoalid Regragui,Al Bayt Stadium,Qatar,César Arturo Ramos Palazuelos,Mexico,38.6,61.4
3869684,2022-12-17,17:00:00.000,3rd Place Final,,7,Croatia,Morocco,2,1,Zlatko Dalić,Walid Regragui,Sheikh Khalifa International Stadium,Qatar,Abdulrahman Ibrahim Al Jassim,Qatar,50.8,49.2
3869685,2022-12-18,17:00:00.000,Final,,7,Argentina,France,3,3,Lionel Sebastián Scaloni,Didier Deschamps,Lusail Stadium,Qatar,Szymon Marciniak,Poland,54.9,45.1
