match_id,minute,second,team,player
3857286,2,38,Ecuador,Michael Steveen Estrada Martínez
3857286,13,42,Ecuador,Michael Steveen Estrada Martínez
3857286,17,13,Qatar,Pedro Miguel Correia
3857286,19,3,Ecuador,Piero Martín Hincapié Reyna
3857286,52,6,Qatar,Boualem Khoukhi
3857286,62,44,Qatar,Abdulaziz Hatem Mohammed Abdullah
3857286,78,29,Ecuador,Piero Martín Hincapié Reyna
3857267,3,40,Senegal,Pape Gueye
3857267,40,27,Senegal,Boulaye Dia
3857267,61,1,Senegal,Boulaye Dia
3869117,19,49,United States,Jesus Ferreira
3869117,36,14,United States,Tyler Adams
3869117,71,28,United States,Giovanni Reyna
3857269,33,23,Brazil,Lucas Tolentino Coelho de Lima
3857269,45,56,Brazil,Alex Sandro Lobo Silva
3857269,63,29,Brazil,Richarlison de Andrade
3857269,65,50,Switzerland,Silvan Widmer
3857275,7,36,Tunisia,Wahbi Khazri
3857275,26,21,Tunisia,Ali Maâloul
3857275,41,47,Tunisia,Anis Ben Slimane
3857275,63,57,France,Randal Kolo Muani
3857275,97,47,France,Antoine Griezmann
3857268,12,55,Canada,Tajon Buchanan
3869219,18,24,Japan,Ritsu Doan
3869219,68,6,Japan,Junya Ito
3869219,81,30,Japan,Shūichi Gonda
3857293,54,47,Uruguay,Federico Santiago Valverde Dipetta
3857293,88,10,Uruguay,Diego Nicolás De La Cruz Arcosa
3857293,91,42,Ghana,Mohammed Kudus
3857274,32,34,Ecuador,Jhegson Sebastián Méndez Carabalí
3857274,42,10,Ecuador,Felix Eduardo Torres Caicedo
3857274,47,49,Ecuador,Jackson Gabriel Porozo Vernaza
3857274,72,47,Netherlands,Memphis Depay
3869152,28,9,France,Antoine Griezmann
3869152,63,0,France,Antoine Griezmann
3869152,93,42,Poland,Arkadiusz Milik
3857260,7,59,Mexico,Henry Josué Martín Mex
3857260,44,23,Mexico,César Jasib Montes Castro
3857260,46,50,Mexico,Jesús Daniel Gallardo Vasconcelos
3857260,55,15,Mexico,Hirving Rodrigo Lozano Bahena
3857260,73,53,Saudi Arabia,Firas Tariq Nasser Al Albirakan
3857260,74,35,Mexico,Luis Gerardo Chávez Magallón
3857260,75,13,Saudi Arabia,Salem Mohammed Al Dawsari
3857260,86,38,Mexico,Carlos Alberto Rodríguez Gómez
3857289,16,56,Argentina,Lisandro Martínez
3857289,24,11,Argentina,Rodrigo Javier De Paul
3857289,29,11,Mexico,Francisco Guillermo Ochoa Magaña
3857289,47,39,Mexico,Francisco Guillermo Ochoa Magaña
3857289,51,50,Mexico,César Jasib Montes Castro
3857289,67,49,Mexico,Raúl Alonso Jiménez Rodríguez
3857255,23,53,Spain,César Azpilicueta Tanco
3857255,24,55,Japan,Yuto Nagatomo
3857255,34,1,Japan,Yuto Nagatomo
3857255,49,32,Spain,Pau Francisco Torres
3857298,49,43,Ghana,Abdul Rahman Baba
3857298,82,11,Portugal,João Félix Sequeira
3857300,17,43,Argentina,Lionel Andrés Messi Cuccittini
3857300,20,22,Argentina,Nicolás Alejandro Tagliafico
3857300,21,40,Argentina,Alejandro Darío Gómez
3857300,23,9,Argentina,Nahuel Molina Lucero
3857300,26,53,Argentina,Alejandro Darío Gómez
3857300,31,21,Argentina,Alejandro Darío Gómez
3857300,34,9,Argentina,Lionel Andrés Messi Cuccittini
3857300,46,39,Argentina,Leandro Daniel Paredes
3857300,82,22,Argentina,Marcos Javier Acuña
3857300,90,47,Argentina,Rodrigo Javier De Paul
3857300,93,12,Saudi Arabia,Salem Mohammed Al Dawsari
3857261,55,43,Wales,Daniel James
3857261,64,11,England,Trent Alexander-Arnold
3869519,46,55,Argentina,Nicolás Alejandro Tagliafico
3857291,16,1,Costa Rica,Joel Nathaniel Campbell Samuels
3857291,32,55,Costa Rica,Joel Nathaniel Campbell Samuels
3857291,34,17,Spain,Jordi Alba Ramos
3857291,40,47,Costa Rica,Jewison Bennette
3857291,44,21,Spain,Marco Asensio Willemsen
3857291,54,59,Costa Rica,Bryan Oviedo
3857291,61,40,Costa Rica,Óscar Esau Duarte Gaitán
3857291,66,27,Costa Rica,Bryan Ruiz González
3857291,73,2,Costa Rica,Bryan Ruiz González
3857291,80,42,Spain,Jorge Resurrección Merodio
3857262,14,20,Portugal,Kléper Laveran Lima Ferreira
3857262,16,10,South Korea,Jin-Su Kim
3857262,29,29,Portugal,Kléper Laveran Lima Ferreira
3857262,46,34,Portugal,Kléper Laveran Lima Ferreira
3857262,51,48,Portugal,Vitor Machado Ferreira
3857262,67,41,Portugal,João Mário Naval da Costa Eduardo
3857284,7,17,Japan,Junya Ito
3857284,19,51,Germany,İlkay Gündoğan
3857284,39,19,Japan,Yuto Nagatomo
3857284,48,36,Germany,Kai Havertz
3857284,54,11,Japan,Yuto Nagatomo
3857284,54,49,Germany,David Raum
3857284,62,29,Germany,Nico Schlotterbeck
3857284,64,14,Japan,Hiroki Sakai
3857259,38,30,Serbia,Filip Kostić
3857259,48,12,Serbia,Dušan Tadić
3857259,48,49,Serbia,Andrija Živković
3857259,90,32,Serbia,Dušan Tadić
3857276,5,15,Canada,Alphonso Davies
