match_id,minute,second,team,player,card,advantage,offensive
3869684,68,14,Morocco,Yahia Attiyat allah,,False,False
3869684,72,58,Morocco,Badr Banoun,,False,False
3869684,74,46,Morocco,Achraf Hakimi Mouh,,False,False
3869684,77,57,Morocco,Selim Amallah,,False,False
3869684,83,39,Morocco,Selim Amallah,,False,False
3869684,87,52,Croatia,Mario Pašalić,,False,False
3869684,88,26,Croatia,Josip Stanišić,,False,False
3869684,89,13,Morocco,Achraf Hakimi Mouh,,True,False
3869684,89,21,Croatia,Bruno Petković,,False,False
3869684,95,5,Croatia,Bruno Petković,,False,False
3857257,1,35,Denmark,Andreas Skov Olsen,,False,False
3857257,3,4,Australia,Aziz Eraltay Behich,Yellow Card,False,False
3857257,8,15,Denmark,Jesper Lindstrøm,,False,False
3857257,16,27,Australia,Riley McGree,,False,False
3857257,20,49,Denmark,Andreas Christensen,,False,False
3857257,22,14,Australia,Riley McGree,,False,False
3857257,24,51,Australia,Riley McGree,,False,False
3857257,27,30,Denmark,Jesper Lindstrøm,,False,False
3857257,34,49,Australia,Mathew Leckie,,False,False
3857257,36,25,Australia,Mitchell Thomas Duke,,False,False
3857257,42,49,Denmark,Christian Dannemann Eriksen,,False,False
3857257,45,33,Denmark,Andreas Skov Olsen,,False,False
3857257,53,2,Australia,Mitchell Thomas Duke,,False,False
3857257,54,37,Australia,Mathew Leckie,,False,False
3857257,56,51,Australia,Miloš Degenek,Yellow Card,False,False
3857257,63,41,Australia,Mathew Leckie,,False,False
3857257,65,13,Denmark,Jesper Lindstrøm,,False,False
3857257,72,33,Denmark,Andreas Evald Cornelius,,False,False
3857257,74,36,Denmark,Robert Skov,Yellow Card,False,False
3857257,77,52,Australia,Mitchell Thomas Duke,,True,False
3857257,83,10,Australia,Jamie MacLaren,,False,True
3857257,89,17,Denmark,Mikkel Damsgaard,,False,False
3857282,1,39,Wales,Joe Rodon,,False,False
3857282,6,25,United States,Weston McKennie,,False,False
3857282,10,28,United States,Sergino Dest,Yellow Card,False,False
3857282,12,3,United States,Weston McKennie,Yellow Card,False,False
3857282,15,3,United States,Joshua Sargent,,True,False
3857282,24,14,United States,Tyler Adams,,False,False
3857282,30,29,United States,Tyler Adams,,False,False
3857282,32,37,Wales,Chris Mepham,,False,False
3857282,39,5,Wales,Gareth Frank Bale,Yellow Card,False,False
3857282,40,22,United States,Antonee Robinson,,False,False
3857282,41,1,United States,Weston McKennie,,False,False
3857282,43,14,United States,Yunus Dimoara Musah,,True,False
3857282,46,53,Wales,Chris Mepham,Yellow Card,False,False
3857282,47,34,United States,Tyler Adams,,False,False
3857282,49,19,Wales,Gareth Frank Bale,,False,False
3857282,50,15,United States,Tim Ream,Yellow Card,False,False
3857282,57,42,Wales,Ethan Ampadu,,False,False
3857282,59,35,United States,Weston McKennie,,False,False
3857282,62,48,United States,Yunus Dimoara Musah,,False,False
3857282,79,50,United States,Walker Zimmerman,,False,False
3857282,83,9,United States,Brenden Aaronson,,False,False
3857282,84,36,Wales,Kieffer Roberto Francisco Moore,,False,False
3857282,86,31,United States,Antonee Robinson,,False,False
3857282,87,56,Wales,Kieffer Roberto Francisco Moore,,False,False
3857282,88,45,Wales,Harry Wilson,,False,False
3857282,94,55,Wales,Joseff Morrell,,False,False
3857282,99,52,United States,Kellyn Kai Perry-Acosta,Yellow Card,False,False
3857296,6,33,Belgium,Axel Witsel,,False,False
3857296,8,15,Croatia,Joško Gvardiol,,False,False
3857296,9,13,Croatia,Marko Livaja,,False,True
3857296,13,48,Belgium,Axel Witsel,,False,False
3857296,29,22,Croatia,Ivan Perišić,,True,False
3857296,31,8,Belgium,Axel Witsel,,True,False
3857296,34,30,Croatia,Marcelo Brozović,,True,False
3857296,35,19,Croatia,Marko Livaja,,False,False
3857296,38,17,Belgium,Axel Witsel,,False,False
3857296,41,21,Croatia,Marko Livaja,,True,False
3857296,43,24,Croatia,Luka Modrić,,False,False
3857296,47,34,Belgium,Leander Dendoncker,,False,False
3857296,54,28,Croatia,Marko Livaja,,False,False
3857296,60,37,Belgium,Romelu Lukaku Menama,,False,False
3857296,65,56,Belgium,Leander Dendoncker,Yellow Card,False,False
3857296,67,45,Croatia,Joško Gvardiol,,True,False
3857296,69,22,Croatia,Marcelo Brozović,,False,False
3857296,74,25,Belgium,Youri Tielemans,,False,False
3857296,83,49,Belgium,Timothy Castagne,,False,False
3857296,87,49,Croatia,Mario Pašalić,,False,False
3857296,92,2,Belgium,Youri Tielemans,,False,False
3869254,5,36,Switzerland,Djibril Sow,,False,False
3869254,7,54,Portugal,Kléper Laveran Lima Ferreira,,False,False
3869254,11,5,Portugal,Bruno Miguel Borges Fernandes,,True,False
3869254,19,18,Switzerland,Remo Freuler,,False,False
3869254,22,46,Portugal,Kléper Laveran Lima Ferreira,,False,False
3869254,28,19,Portugal,Rúben Santos Gato Alves Dias,,False,False
3869254,34,43,Switzerland,Manuel Obafemi Akanji,,True,False
3869254,38,31,Portugal,Rúben Santos Gato Alves Dias,,False,False
3869254,38,57,Switzerland,Remo Freuler,,False,False
3869254,40,6,Portugal,Otávio Edmilson da Silva Monteiro,,False,False
3869254,42,3,Switzerland,Fabian Lukas Schär,Yellow Card,True,False
3869254,46,37,Switzerland,Remo Freuler,,True,False
3869254,49,17,Portugal,William Silva de Carvalho,,False,False
3869254,54,19,Switzerland,Breel-Donald Embolo,,False,False
3869254,54,48,Switzerland,Manuel Obafemi Akanji,,True,False
3869254,58,28,Switzerland,Eray Ervin Cömert,Yellow Card,False,False
3869254,62,26,Switzerland,Xherdan Shaqiri,,False,False
3869254,64,10,Portugal,Otávio Edmilson da Silva Monteiro,,False,False
3869254,64,45,Portugal,William Silva de Carvalho,,True,False
3869254,67,59,Switzerland,Denis Lemi Zakaria Lako Lado,,False,False
3869254,68,24,Switzerland,Eray Ervin Cömert,,True,False
3869254,69,20,Portugal,Otávio Edmilson da Silva Monteiro,,False,False
3869254,72,8,Switzerland,Eray Ervin Cömert,,False,False
3869254,74,25,Portugal,Raphaël Adelino José Guerreiro,,False,False
3869254,74,39,Portugal,William Silva de Carvalho,,False,False
3869254,74,51,Switzerland,Eray Ervin Cömert,,False,False
3869254,81,21,Portugal,Raphaël Adelino José Guerreiro,,False,False
3869254,85,0,Switzerland,Noah Okafor,,False,False
3869254,93,50,Portugal,Ricardo Jorge Luz Horta,,False,False
3857279,15,23,France,Theo Bernard François Hernández,,False,False
3857279,16,41,France,Adrien Rabiot,,False,False
3857279,22,30,Australia,Riley McGree,,False,False
3857279,45,49,Australia,Mitchell Thomas Duke,,False,False
3857279,48,30,Australia,Craig Goodwin,,False,False
3857279,50,36,Australia,Riley McGree,,False,False
3857279,52,15,Australia,Jackson Irvine,,False,False
3857279,54,4,Australia,Mitchell Thomas Duke,Yellow Card,False,False
3857279,60,5,Australia,Jackson Irvine,,True,False
3857279,63,39,Australia,Riley McGree,,False,False
